category,skintype,name,brand,price,rating,ingredients
16,3,Black Tea Firming Overnight Mask,FRESH,92,4.1,"['water', 'glycerin', 'butylene glycol', 'jojoba esters', 'isohexadecane', 'ammonium acryloyldimethyltaurate vp copolymer', 'dicaprylyl carbonate', 'camellia oleifera seed', 'pentylene glycol', 'ethylhexyl palmitate', 'mirabilis jalapa', 'glyceryl stearate', 'steareth 21', 'caprylic capric triglyceride', 'dimethicone', 'oxidized corn', 'butyrospermum parkii shea butter', 'cera alba beeswax', 'kigelia', 'africana fruit', 'saccharomyces ferment filtrate', 'camellia sinensis leaf', 'rubus fruticosus blackberry leaf', 'litichi chinensis seed', 'rosa damascena flower', 'sodium hyaluronate', 'adenosine', 'tocopheryl acetate', 'tocopherol', 'ceteareth20', 'behenyl alcohol', 'parfume', 'ceteareth12', 'cetyl stearyl alcohol', 'sodium citrate', 'sodium polyacrylate starch', 'sodium polyacrylate', 'sorbitan laurate', 'disodium edta', 'maltodextrin', 'silica', 'tetrasodium edta', 'hydroxyethylcellulose', 'acetyl dipeptide 1 cetyl ester', 'citric acid', 'color index77891 titanium dioxide', 'bht', 'potassium sorbate', 'biotin', 'phenoxyethanol', 'linalool', 'citronellol', 'geraniol']"
2,3,The True Cream Moisturizing Bomb,BELIF,38,4.6,"['water', 'glycerin', 'cyclohexasiloxane', 'hydrogenated polydecene', 'dipropylene glycol', 'macadamia ternifolia seed', 'bis peg18 methyl ether dimethyl silane', 'triethylhexanoin', 'stearyl alcohol', 'glyceryl stearate', 'pentaerythrityl tetraethylhexanoate', 'peg40 stearate', 'saccharomyces viscum album mistletoe ferment', 'lactobacillus soybean ferment', 'saccharomyces imperata cylindrica root ferment', 'cetyl stearyl alcohol', 'ceteayl olivate', 'sorbitan olivate', 'hydrogenated lecithin', 'sorbitan stearate', 'stearic acid', 'peg100 stearate', 'dimethicone', 'dimethicone vinyl dimethicone crosspolymer', 'poncirus trifoliata fruit', 'panthenol', 'avena sativa oat kernel', 'calendula officinalis flower officinalis flower', 'nepeta cataria', 'rubus idaeus raspberry leaf', 'baptisia tinctoria root', 'stellaria media chickweed', 'alchemilla vulgaris leaf', 'viola tricolor', 'rosa damascena flower', 'spiraea ulmaria flower', 'althaea officinalis root', 'symphytum officinale leaf', 'trifolium pratense clover flower', 'achillea millefolium flower', 'euphrasia officinalis', 'thuja occidentalis leaf', 'menyanthes trifoliata leaf', 'salix alba willow bark', 'chelidonium majus', 'urea', 'hydroxyethylpiperazine ethane sulfonic acid', 'glycosyl trehalose', 'hydrogenated starch hydrolysate', 'acrylates c10 30 alkyl acrylate crosspolymer', 'carbomer', 'xanthan gum', 'trisodium edta', 'tromethamine', 'frgrance', 'citronnellol', 'limonene napiers original formula napiers moisture formula parfumes of origin']"
2,0,Charlotte's Magic Cream,CHARLOTTE TILBURY,100,4.4,"['water', 'homosalate', 'glyceryl stearate se', 'ethylhexyl salicylate', 'butylene glycol', 'glycerin', 'butyl methoxydibenzoylmethane', 'octocrylene', 'cetyl alcohol', 'c12 15 alkyl benzoate', 'cyclopentasiloxane', 'dimethicone', 'phenoxyethanol', 'butyrospermum parkii shea butter', 'steareth 21', 'avena sativa oat kernel', 'carbomer', 'dimethiconol', 'potassium cetyl phosphate', 'chlorphenesin', 'caprylyl glycol', 'xanthan gum', 'hydrolyzed viola tricolor', 'allantoin', 'aloe barbadensis leaf juice', 'disodium edta', 'tocopheryl acetate', 'camellia oleifera seed', 'rosa canina fruit', 'rosa damascena flower', 'sodium hydroxide', 'helianthus annuus sunflower seed', 'michelia alba leaf', 'sodium lactate', 'coco glucoside', 'peg8', 'ethylhexylglycerin', 'sodium hyaluronate', 'tocopherol', 'palmitoyl oligopeptide', 'palmitoyl tetrapeptide 7', 'ascorbyl palmitate', 'plumeria rubra flower', 'ascorbic acid', 'citric acid', 'nicotiana sylvestris leaf cell culture', 'linalool', 'citronellol', 'geraniol']"
2,7,Virgin Marula Luxury Facial Oil Mini,DRUNK ELEPHANT,40,4.5,[]
2,15,Dr. Andrew Weil For Origins™ Mega-Mushroom Relief & Resilience Soothing Treatment Lotion,ORIGINS,34,4.4,"['water', 'butylene glycol', 'peg4', 'citrus aurantium dulcis orange', 'lavandula angustifolia lavender', 'pogostemon cablin patchouli', 'citrus nobilis mandarin orange peel', 'pelargonium graveolens flower', 'boswellia carterii olibanum', 'limonene', 'linalool', 'citronellol', 'geraniol', 'ganoderma lucidum reishi mushroom', 'fuscoporia obliqua sclerotium', 'cordyceps sinensis mushroom', 'ergothioneine', 'camelina sativa seed', 'lactobacillus ferment', 'hippophae rhamnoides', 'zingiber officinale ginger root', 'curcuma longa turmeric root', 'ocimum sanctum holy basil leaf', 'helianthus annuus sunflower seed', 'silybum marianum fruit', 'saccharomyces lysate', 'centella asiatica hydrocotyl', 'hypnea musciformis algae', 'caffeine', 'sucrose', 'salvia sclarea clary', 'saccharomyces ferment filtrate', 'peg40 hydrogenated castor', 'gellidiella acerosa', 'trideceth 9', 'glycerin', 'glycereth 26', 'polysorbate 20', 'sodium hyaluronate', 'tocopheryl acetate', 'maltodextrin', 'pentylene glycol', 'sodium hydroxide', 'citric acid', 'potassium sorbate', 'phenoxyethanol']"
2,1,Dramatically Different Moisturizing Lotion+,CLINIQUE,28,3.9,"['water', 'mineral paraffinum liquidum huile minerale', 'glycerin', 'petrolatum', 'stearic acid', 'glyceryl stearate', 'sesamum indicum sesame', 'urea', 'lanolin alcohol', 'triethanolamine', 'hordeum vulgare barley extrait dorge', 'cucumis sativus cucumber fruit', 'helianthus annuus sunflower seedcake', 'propylene glycol dicaprate', 'sodium hyaluronate', 'butylene glycol', 'pentylene glycol', 'trisodium edta', 'phenoxyethanol', 'yellow 6 color index15985', 'yellow 5 color index19140', 'red 33 color index17200']"
8,15,GenOptics Aura Essence Serum,SK-II,240,4.1,"['water', 'galactomyces ferment filtrate pitera', 'niacinamide', 'butylene glycol', 'triethylhexanoin', 'pentylene glycol', 'glycerin', 'nylon 12', 'phytosteryl octyldodecyl lauroyl glutamate', 'polymethylsilsesquioxane', 'boron nitride', 'panthenol', 'peg20 sorbitan cocoate', 'inositol', 'caprylic capric triglyceride', 'mica', 'phenoxyethanol', 'acrylates c10 30 alkyl acrylate crosspolymer', 'peg11 methyl ether dimethicone', 'polyacrylamide', 'aminomethyl propanol', 'undecylenoyl phenylalanine', 'benzyl alcohol', 'c13 14 isoparaffin', 'disodium edta', 'hydrolyzed prunus domestica', 'xanthan gum', 'sodium benzoate', 'hexyldecanol', 'laureth 7', 'citrus reticulata peel citrus reticulata tangerine peel', 'methylparaben', 'ascorbyl glucoside', 'prunus mume fruit', 'tocopherol', 'parfume', 'limonene', 'citronellol', 'linalool', 'geraniol', 'color index77891 titanium dioxide']"
8,0,Black Tea Kombucha Antioxidant Essence,FRESH,68,4.4,"['water', 'saccha romyces ferment filtrate', 'glycerin', 'ca mellia sinensis leaf', 'pentyleneglycol', 'polyglycerin 3', 'kigelia africanafruit', 'citrus unshiu peel', 'sodium hyaluronate', 'adenosine', 'to copheryl acetate', 'tocopherol', 'butyleneglycol', 'diglycerin', 'peg60 hydrogenat ed castor', 'sodium benzoate', 'parfume', 'disodium edta', 'hy droxyethylcellulose', 'sodium citrate', 'bht', 'citric acid', 'potassium sorbate', 'biotin', 'phenoxyethanol', 'linalool', 'citronellol', 'geraniol']"
2,15,Pure One Step Camellia Cleansing Oil,TATCHA,48,4.5,"['cetyl ethylhexanoate', 'oryza sativa rice bran', 'polyglyceryl 10 dioleate', 'polyglyceryl 2 sesquicaprylate', 'camellia japonica seed', 'camellia sinensis green tea leaf', 'algae', 'water', 'glyceryl behenate eicosadioate', 'glycerin', 'ethylhexylglycerin', 'parfume', 'alcohol', 'phenoxyethanol']"
2,13,100 percent Pure Argan Oil,JOSIE MARAN,48,4.5,['argania spinosa argan kernel']
